L,N,nmax,W_over_t,observable,n_disorder,U_peak,peak_value,quality_flag
8,6,6,1.8,M_sum,100,0.0,5.715074498085828,boundary
8,6,6,1.8,M_sum,300,0.0,5.654644735932546,boundary
8,6,6,1.8,S2_per_edge,100,0.0,0.6049961190063521,boundary
8,6,6,1.8,S2_per_edge,300,0.0,0.5998524882068652,boundary
8,6,6,1.8,S2_sum,100,0.0,4.136448302570795,boundary
8,6,6,1.8,S2_sum,300,0.0,4.1028447787612174,boundary
8,6,6,1.8,Sstar_mean,100,0.0,1.5158601242657541,boundary
8,6,6,1.8,Sstar_mean,300,0.1615459144580588,1.512109350216928,ok
8,6,6,1.9000000000000001,M_per_edge,100,0.0,0.8241251086914986,boundary
8,6,6,1.9000000000000001,M_per_edge,300,0.0,0.8145971428729343,boundary
8,6,6,1.9000000000000001,M_sum,100,0.0,5.634941259530411,boundary
8,6,6,1.9000000000000001,M_sum,300,0.0,5.571491433785728,boundary
8,6,6,1.9000000000000001,S2_per_edge,100,0.0,0.5982958896752292,boundary
8,6,6,1.9000000000000001,S2_per_edge,300,0.0,0.5928769443768067,boundary
8,6,6,1.9000000000000001,S2_sum,100,0.0,4.090674538716064,boundary
