L,N,nmax,W_over_t,observable,U_peak,U_peak_ci_low,U_peak_ci_high,peak_value,curvature,fit_method,quality_flag,bootstrap_valid,n_samples
7,7,7,2.1,S2_sum,0.005872350372907435,0.001916074821243122,0.01564354390563916,4.058674555388375,-11.06391126506852,local_parabola_5_points,ok,654,300
7,7,7,2.1,S2_per_edge,0.0,nan,nan,0.5919424783727064,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.1,Sstar_mean,0.0051919290882180185,0.0021787521493194136,0.012154626486777183,1.5022909583835113,-5.741138625003094,local_parabola_5_points,ok,659,300
7,7,7,2.2,M_sum,0.006207214353815848,0.0025879118275986246,0.014984793208888167,5.502803800496112,-16.425233973718925,local_parabola_5_points,ok,673,300
7,7,7,2.2,M_per_edge,0.0,nan,nan,0.8026340104735644,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.2,S2_sum,0.006823052523143776,0.0026254960954000188,0.015503417624236059,4.015971216736525,-11.72607204677291,local_parabola_5_points,ok,720,300
7,7,7,2.2,S2_per_edge,0.0,nan,nan,0.5857141799960741,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.2,Sstar_mean,0.0,0.003668521286974516,0.00982770504704695,1.496902397368788,nan,local_parabola_5_points,boundary,499,300
7,7,7,2.3,M_sum,0.006559397389851296,0.0022765691127480323,0.01687347909845679,5.4300678891151675,-11.062627106515231,local_parabola_5_points,ok,658,300
7,7,7,2.3,M_per_edge,0.0,nan,nan,0.7920477236793967,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.3,S2_sum,0.007528920828878873,0.0028466802146610015,0.017248819693504,3.973562672961351,-8.01440475655236,local_parabola_5_points,ok,713,300
7,7,7,2.3,S2_per_edge,0.0,nan,nan,0.5795427728870096,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.3,Sstar_mean,0.0,0.0027028393582284316,0.00805644804374756,1.4914450404472672,nan,local_parabola_5_points,boundary,415,300
7,7,7,2.4000000000000004,M_sum,0.0,0.0029307385549964217,0.018150679323521882,5.358436495018708,nan,local_parabola_5_points,boundary,541,300
7,7,7,2.4000000000000004,M_per_edge,0.0,nan,nan,0.7816329422475592,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.4000000000000004,S2_sum,0.006807439009308147,0.0029223939549741593,0.01893437147160953,3.9314969066111884,-2.7724969725520574,local_parabola_5_points,ok,614,300
7,7,7,2.4000000000000004,S2_per_edge,0.0,nan,nan,0.5734353970973818,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.4000000000000004,Sstar_mean,0.0,0.0010846231940229672,0.011280397878637424,1.4862487526399009,nan,local_parabola_5_points,boundary,112,300
7,7,7,2.5,M_sum,0.0,0.00209609849212989,0.019275732191221473,5.2881752344853385,nan,local_parabola_5_points,boundary,498,300
7,7,7,2.5,M_per_edge,0.0,nan,nan,0.7713960228592673,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.5,S2_sum,0.000369416794222849,0.002229609937191703,0.02046048761104902,3.8900117779085743,-1.4737321062638495,local_parabola_5_points,ok,565,300
7,7,7,2.5,S2_per_edge,0.0,nan,nan,0.5673978822585309,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.5,Sstar_mean,0.0,0.0019500081857978648,0.20464931506869877,1.4809514809337287,nan,local_parabola_5_points,boundary,152,300
