U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file,epsilon,curve_file
3.0,14.0,7,7,2,periodic,0.9418331534647951,0.1249043982965965,50.303955608189305,47.377933142214,0.026026026026026095,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_14/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W14_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W14_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,15.0,7,7,2,periodic,0.9976977642363202,0.13557632955556562,46.34426472361784,46.23756929992968,0.001001001001001076,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_15/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W15_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W15_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,0.5,7,7,2,periodic,0.32248424984084423,0.049831089714671616,126.08966296255102,40.661930373163145,0.4914914914914914,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W0.5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,1.0,7,7,2,periodic,0.2776153294436801,0.04919937958988981,127.70862883951375,35.453873068082274,0.5565565565565564,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W1_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,2.0,7,7,2,periodic,0.22822244741868986,0.04916124412330723,127.80769525319525,29.16858500962629,0.6416416416416415,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_2/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W2_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W2_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,3.0,7,7,2,periodic,0.2502640096417919,0.051549695767263655,121.88598232561613,30.50367465593727,0.6016016016016015,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_3/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W3_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W3_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,4.0,7,7,2,periodic,0.40607720257003654,0.05601773905926868,112.1642074938398,45.5473276075836,0.39139139139139134,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_4/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W4_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W4_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,5.0,7,7,2,periodic,0.46096044868284336,0.06155073399906207,102.08140340414676,47.05548951534982,0.3363363363363363,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,6.0,7,7,2,periodic,0.6820776732865685,0.06746034143657248,93.13894909777709,63.527997692967936,0.1661661661661662,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_6/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W6_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W6_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,7.0,7,7,2,periodic,0.697981390783066,0.07412898700252225,84.76016685572405,59.16101914496301,0.1561561561561562,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_7/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W7_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W7_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,8.0,7,7,2,periodic,0.7566218500481054,0.08093806978659521,77.62954223823354,58.736207866679806,0.12112112112112118,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_8/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W8_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W8_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,9.0,7,7,2,periodic,0.7393819919175866,0.08948214298344327,70.21719750657014,51.91733135927843,0.13113113113113117,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_9/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W9_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W9_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,10.0,7,7,2,periodic,0.7832382599179196,0.09598715686108983,65.45860417839495,51.26968323334192,0.10610610610610616,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_10/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W10_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W10_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,11.0,7,7,2,periodic,0.8890965989529158,0.10508521320288493,59.791336151631775,53.160273619266334,0.05105105105105112,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_11/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W11_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W11_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,12.0,7,7,2,periodic,0.9203731996618221,0.11127006334102864,56.467886496320396,51.971529372759,0.03603603603603612,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_12/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W12_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W12_L7_N7_nmax2_boundaryperiodic_nreal300.txt
4.0,13.0,7,7,2,periodic,0.952750047242729,0.11846994943545504,53.03611031422614,50.53015660744955,0.02102102102102108,300,300,150,pbs_bose_midpoint_L7/data/U_4/W_13/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W13_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U4_W13_L7_N7_nmax2_boundaryperiodic_nreal300.txt
