U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file
4.0,13.0,9,9,2,periodic,0.6742622241778342,0.01702449877218979,369.0672713045405,248.84811922104365,0.17117117117117117,285,285,100,pbs_bose_midpoint_L9/data/U_4/W_13/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W13_boundaryperiodic_nreal300.txt
4.0,14.0,9,9,2,periodic,0.7479522515621821,0.01848948801523945,339.82473186931105,254.17267333816605,0.1261261261261261,288,288,100,pbs_bose_midpoint_L9/data/U_4/W_14/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W14_boundaryperiodic_nreal300.txt
4.0,15.0,9,9,2,periodic,0.7479522515621821,0.019154929766603473,328.01922970943434,245.34272141686404,0.12612612612612617,282,282,100,pbs_bose_midpoint_L9/data/U_4/W_15/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W15_boundaryperiodic_nreal300.txt
5.0,0.5,9,9,2,periodic,0.10186101701559752,0.013428593084819264,467.89602361863155,47.66036482334785,0.9919919919919922,298,298,100,pbs_bose_midpoint_L9/data/U_5/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
5.0,1.0,9,9,2,periodic,0.2651083601908539,0.013017131054246775,482.68587609630987,127.96406109917838,0.5765765765765765,300,300,100,pbs_bose_midpoint_L9/data/U_5/W_1/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W1_boundaryperiodic_nreal300.txt
5.0,3.0,9,9,2,periodic,0.12975171686575868,0.008784436008983952,715.2633704376348,92.80665032547225,0.8868868868868871,298,298,100,pbs_bose_midpoint_L9/data/U_5/W_3/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W3_boundaryperiodic_nreal300.txt
5.0,4.0,9,9,2,periodic,0.19646866461804466,0.008682522862783584,723.6589418165057,142.17630593759617,0.7067067067067064,295,295,100,pbs_bose_midpoint_L9/data/U_5/W_4/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W4_boundaryperiodic_nreal300.txt
5.0,5.0,9,9,2,periodic,0.29749075472144404,0.009177351859315347,684.6403410807361,203.67417178085506,0.5265265265265264,296,296,100,pbs_bose_midpoint_L9/data/U_5/W_5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W5_boundaryperiodic_nreal300.txt
5.0,6.0,9,9,2,periodic,0.45045732517594583,0.009973965421276432,629.9586013980272,283.7694665573352,0.3463463463463463,292,292,100,pbs_bose_midpoint_L9/data/U_5/W_6/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W6_boundaryperiodic_nreal300.txt
5.0,8.0,9,9,2,periodic,0.5871766390733255,0.012167625384139858,516.385499127014,303.20950184360174,0.23123123123123127,294,294,100,pbs_bose_midpoint_L9/data/U_5/W_8/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W8_boundaryperiodic_nreal300.txt
5.0,12.0,9,9,2,periodic,0.7225349491787214,0.01667299343905737,376.8480645149714,272.2858971424244,0.14114114114114112,287,287,100,pbs_bose_midpoint_L9/data/U_5/W_12/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W12_boundaryperiodic_nreal300.txt
5.0,13.0,9,9,2,periodic,0.7393819919175866,0.017798926482293195,353.00922858635613,261.00866659747066,0.13113113113113112,279,279,100,pbs_bose_midpoint_L9/data/U_5/W_13/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W13_boundaryperiodic_nreal300.txt
6.0,0.5,9,9,2,periodic,0.07292272058728312,0.01418943831618103,442.8071899093081,32.29070498379649,1.1371371371371373,299,299,100,pbs_bose_midpoint_L9/data/U_6/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
6.0,2.0,9,9,2,periodic,0.34557199367621394,0.014097838877923626,445.6842897402296,154.01600855569853,0.46146146146146133,300,300,100,pbs_bose_midpoint_L9/data/U_6/W_2/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W2_boundaryperiodic_nreal300.txt
6.0,4.0,9,9,2,periodic,0.29749075472144404,0.010042628880992938,625.6514486034013,186.1255216375906,0.5265265265265264,293,293,100,pbs_bose_midpoint_L9/data/U_6/W_4/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W4_boundaryperiodic_nreal300.txt
6.0,6.0,9,9,2,periodic,0.4771760948938746,0.01075270471529125,584.3353345548835,278.83085305140503,0.3213213213213213,281,281,100,pbs_bose_midpoint_L9/data/U_6/W_6/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W6_boundaryperiodic_nreal300.txt
6.0,8.0,9,9,2,periodic,0.5672228971644544,0.012572960312125143,499.7379416779191,283.4628031015504,0.24624624624624625,287,287,100,pbs_bose_midpoint_L9/data/U_6/W_8/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W8_boundaryperiodic_nreal300.txt
6.0,9.0,9,9,2,periodic,0.6820776732865685,0.013953707866916973,450.2878637782343,307.13129843503737,0.16616616616616617,285,285,100,pbs_bose_midpoint_L9/data/U_6/W_9/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W9_boundaryperiodic_nreal300.txt
6.0,12.0,9,9,2,periodic,0.7142559285543126,0.017238021943861565,364.49572506879304,260.34323256308824,0.14614614614614613,285,285,100,pbs_bose_midpoint_L9/data/U_6/W_12/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W12_boundaryperiodic_nreal300.txt
6.0,14.0,9,9,2,periodic,0.7479522515621821,0.019700579112264853,318.9340410438954,238.54743409860697,0.1261261261261261,282,282,100,pbs_bose_midpoint_L9/data/U_6/W_14/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W14_boundaryperiodic_nreal300.txt
6.0,15.0,9,9,2,periodic,0.7393819919175866,0.02091519421934161,300.41247723002857,222.11957581123514,0.13113113113113117,283,283,100,pbs_bose_midpoint_L9/data/U_6/W_15/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W15_boundaryperiodic_nreal300.txt
7.0,0.5,9,9,2,periodic,0.07462302891391108,0.014262747818809365,440.53119265654226,32.87377192708889,1.1271271271271273,300,300,100,pbs_bose_midpoint_L9/data/U_7/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
7.0,1.0,9,9,2,periodic,0.06727099135712336,0.01720830374042082,365.12519780906274,24.562334026081416,1.1721721721721723,300,300,100,pbs_bose_midpoint_L9/data/U_7/W_1/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W1_boundaryperiodic_nreal300.txt
7.0,3.0,9,9,2,periodic,0.41078408899656466,0.014610161596675912,430.0558392597882,176.66009614798512,0.3863863863863864,296,296,100,pbs_bose_midpoint_L9/data/U_7/W_3/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W3_boundaryperiodic_nreal300.txt
7.0,6.0,9,9,2,periodic,0.5113387538414326,0.01163586740733969,539.9842647928654,276.1148810531659,0.29129129129129133,285,285,100,pbs_bose_midpoint_L9/data/U_7/W_6/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W6_boundaryperiodic_nreal300.txt
7.0,7.0,9,9,2,periodic,0.5672228971644544,0.012401870485654817,506.632069287235,287.37331013752805,0.24624624624624622,290,290,100,pbs_bose_midpoint_L9/data/U_7/W_7/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W7_boundaryperiodic_nreal300.txt
7.0,14.0,9,9,2,periodic,0.7225349491787214,0.02045498210293729,307.17139108507627,221.94206544681273,0.14114114114114118,283,283,100,pbs_bose_midpoint_L9/data/U_7/W_14/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W14_boundaryperiodic_nreal300.txt
7.0,15.0,9,9,2,periodic,0.7653919388230148,0.021747485089865428,288.91548982404504,221.13358691242684,0.11611611611611611,274,274,100,pbs_bose_midpoint_L9/data/U_7/W_15/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W15_boundaryperiodic_nreal300.txt
