U,W,L,N,nmax,boundary,g,n_realizations_used,source
2.0,10.0,7,7,3,periodic,0.04104104104104113,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,11.0,7,7,3,periodic,0.031031031031031085,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,12.0,7,7,3,periodic,0.0460460460460461,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,13.0,7,7,3,periodic,0.011011011011011117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,14.0,7,7,3,periodic,0.001001001001001076,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,15.0,7,7,3,periodic,0.031031031031031085,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,0.5,7,7,4,periodic,1.1271271271271273,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,1.0,7,7,4,periodic,1.1521521521521523,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,2.0,7,7,4,periodic,0.8968968968968971,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,3.0,7,7,4,periodic,0.6916916916916915,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,4.0,7,7,4,periodic,0.3363363363363363,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,5.0,7,7,4,periodic,0.29129129129129133,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,6.0,7,7,4,periodic,0.1711711711711712,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,7.0,7,7,4,periodic,0.1561561561561562,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,8.0,7,7,4,periodic,0.13613613613613618,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,9.0,7,7,4,periodic,0.05105105105105112,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,10.0,7,7,4,periodic,0.0460460460460461,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,11.0,7,7,4,periodic,0.07107107107107112,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,12.0,7,7,4,periodic,0.03603603603603612,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,13.0,7,7,4,periodic,0.03603603603603612,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,14.0,7,7,4,periodic,0.006006006006006072,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,15.0,7,7,4,periodic,0.006006006006006072,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,0.5,7,7,2,periodic,0.6766766766766765,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,1.0,7,7,2,periodic,0.7817817817817816,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,2.0,7,7,2,periodic,0.8568568568568571,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,3.0,7,7,2,periodic,0.7467467467467466,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,4.0,7,7,2,periodic,0.5315315315315314,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,5.0,7,7,2,periodic,0.3013013013013013,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,6.0,7,7,2,periodic,0.24624624624624622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,7.0,7,7,2,periodic,0.1561561561561562,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,8.0,7,7,2,periodic,0.15115115115115116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,9.0,7,7,2,periodic,0.08608608608608616,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,10.0,7,7,2,periodic,0.07607607607607617,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,11.0,7,7,2,periodic,0.0460460460460461,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,12.0,7,7,2,periodic,0.04104104104104113,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,13.0,7,7,2,periodic,0.02102102102102108,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,14.0,7,7,2,periodic,0.026026026026026095,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,15.0,7,7,2,periodic,0.001001001001001076,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,0.5,7,7,3,periodic,0.6116116116116115,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,1.0,7,7,3,periodic,0.6166166166166165,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,2.0,7,7,3,periodic,0.6116116116116115,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,3.0,7,7,3,periodic,0.5415415415415414,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,4.0,7,7,3,periodic,0.38638638638638634,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,5.0,7,7,3,periodic,0.28628628628628633,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
