task_index,L,N,nmax,W_over_t,realization_start,realization_stop,realizations_in_block,U_points,U_values_over_t_json,core_hash
64,7,7,7,2.0,208,216,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
65,7,7,7,2.0,216,224,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
66,7,7,7,2.0,224,232,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
67,7,7,7,2.0,232,240,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
68,7,7,7,2.0,240,248,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
69,7,7,7,2.0,248,256,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
70,7,7,7,2.0,256,264,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
71,7,7,7,2.0,264,272,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
72,7,7,7,2.0,272,280,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
73,7,7,7,2.0,280,288,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
74,7,7,7,2.0,288,296,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
75,7,7,7,2.0,296,300,4,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
76,7,7,7,3.0,0,8,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
77,7,7,7,3.0,8,16,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
78,7,7,7,3.0,16,24,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
79,7,7,7,3.0,24,32,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
80,7,7,7,3.0,32,40,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
81,7,7,7,3.0,40,48,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
82,7,7,7,3.0,48,56,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
83,7,7,7,3.0,56,64,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
84,7,7,7,3.0,64,72,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
85,7,7,7,3.0,72,80,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
86,7,7,7,3.0,80,88,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
87,7,7,7,3.0,88,96,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
88,7,7,7,3.0,96,104,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
89,7,7,7,3.0,104,112,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
90,7,7,7,3.0,112,120,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
91,7,7,7,3.0,120,128,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
92,7,7,7,3.0,128,136,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
93,7,7,7,3.0,136,144,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
94,7,7,7,3.0,144,152,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
95,7,7,7,3.0,152,160,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
96,7,7,7,3.0,160,168,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
97,7,7,7,3.0,168,176,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
98,7,7,7,3.0,176,184,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
99,7,7,7,3.0,184,192,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
100,7,7,7,3.0,192,200,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
101,7,7,7,3.0,200,208,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
102,7,7,7,3.0,208,216,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
103,7,7,7,3.0,216,224,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
104,7,7,7,3.0,224,232,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
105,7,7,7,3.0,232,240,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
106,7,7,7,3.0,240,248,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
107,7,7,7,3.0,248,256,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
108,7,7,7,3.0,256,264,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
109,7,7,7,3.0,264,272,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
110,7,7,7,3.0,272,280,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
111,7,7,7,3.0,280,288,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
112,7,7,7,3.0,288,296,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
113,7,7,7,3.0,296,300,4,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",c5f4a1d73c50b38d4a8254af8248860b0cdcef8595424b2d584abfb33639154f
114,7,7,7,4.0,0,8,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",2365f474e5f6951e7dbc5cc2a330cd7d7c01a4b1bc6131ed3f68be975971d81e
115,7,7,7,4.0,8,16,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",2365f474e5f6951e7dbc5cc2a330cd7d7c01a4b1bc6131ed3f68be975971d81e
116,7,7,7,4.0,16,24,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",2365f474e5f6951e7dbc5cc2a330cd7d7c01a4b1bc6131ed3f68be975971d81e
117,7,7,7,4.0,24,32,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",2365f474e5f6951e7dbc5cc2a330cd7d7c01a4b1bc6131ed3f68be975971d81e
