L,N,nmax,W_over_t,U_over_t,observable,mean,stderr,n_disorder
7,6,6,0.5,0.225,M_sum,5.810226351733801,0.02216067278784501,30
7,6,6,0.5,0.23,M_sum,5.799549444599709,0.021850107823645253,30
7,6,6,0.5,0.23500000000000001,M_sum,5.788423177198187,0.022190662540276546,30
7,6,6,0.5,0.24,M_sum,5.7874752307640085,0.02204797673148485,30
7,6,6,0.5,0.245,M_sum,5.775641938020896,0.021986352280547544,30
7,6,6,0.5,0.25,M_sum,5.7680720629520765,0.022348960387302323,30
7,6,6,0.5,0.255,M_sum,5.757762553672225,0.0216817058516129,30
7,6,6,0.5,0.26,M_sum,5.745257937394156,0.02185074007562109,30
7,6,6,0.5,0.265,M_sum,5.737558634563362,0.020940580433649193,30
7,6,6,0.5,0.27,M_sum,5.730075256025886,0.021367030868666786,30
7,6,6,0.5,0.275,M_sum,5.718628917843545,0.021402445184907873,30
7,6,6,0.5,0.28,M_sum,5.71119841606463,0.0221208521864595,30
7,6,6,0.5,0.28500000000000003,M_sum,5.7024481819089194,0.0220081782733966,30
7,6,6,0.5,0.29,M_sum,5.692358124795359,0.02192576703307438,30
7,6,6,0.5,0.295,M_sum,5.684771650714747,0.022603439947949642,30
7,6,6,0.5,0.3,M_sum,5.677220467896323,0.022913225548049757,30
7,6,6,0.5,0.305,M_sum,5.665268826764503,0.022467888488105017,30
7,6,6,0.5,0.31,M_sum,5.656944711566143,0.02168149713608188,30
7,6,6,0.5,0.315,M_sum,5.644013860460474,0.02142033339994227,30
7,6,6,0.5,0.32,M_sum,5.635051401172803,0.021221532883165913,30
7,6,6,0.5,0.325,M_sum,5.627601241904815,0.02080430232556803,30
7,6,6,0.5,0.33,M_sum,5.619834330143298,0.01985955298285681,30
7,6,6,0.5,0.335,M_sum,5.608706883880312,0.019932809181108582,30
7,6,6,0.5,0.34,M_sum,5.5988272732293005,0.019916879056806593,30
7,6,6,0.5,0.34500000000000003,M_sum,5.59411505325703,0.019955640383134833,30
7,6,6,0.5,0.35000000000000003,M_sum,5.578074102783267,0.01988876501730692,30
7,6,6,0.5,0.355,M_sum,5.5699523328356415,0.019129549700920546,30
7,6,6,0.5,0.36,M_sum,5.557105909150916,0.019239744927464258,30
7,6,6,0.5,0.365,M_sum,5.547932866196906,0.018335961473311988,30
7,6,6,0.5,0.37,M_sum,5.53488664015281,0.01852915457962955,30
7,6,6,0.5,0.375,M_sum,5.525674913623445,0.01836743499816808,30
7,6,6,0.5,0.38,M_sum,5.519066403345011,0.017669793904950378,30
7,6,6,0.5,0.385,M_sum,5.511285884916441,0.01700011095811748,30
