L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,5,5,1.2000000000000002,M_sum,0.02356069099932683,5.13686690434207,-42.64341205512554,0.025,ok,local_polynomial_smoothing_then_quadratic,0.01345858455255848,0.06329240042551249,190,30
7,5,5,1.2000000000000002,S2_sum,0.023869320867248068,3.6761649918307815,-30.047452010417295,0.025,ok,local_polynomial_smoothing_then_quadratic,0.013132607542380813,0.06619313613157403,192,30
7,5,5,1.2000000000000002,Sstar,0.02060301923699731,1.4540705021518545,-8.450224289629814,0.02,ok,local_polynomial_smoothing_then_quadratic,0.010961400969135419,0.07736729291346701,177,30
7,5,5,1.3000000000000003,M_sum,0.024422114133208526,5.053020239711807,-49.40828246823598,0.025,ok,local_polynomial_smoothing_then_quadratic,0.014718587948975079,0.06872051607382804,190,30
7,5,5,1.3000000000000003,S2_sum,0.024641051917354852,3.6303028455235906,-35.361424260439904,0.025,ok,local_polynomial_smoothing_then_quadratic,0.014821464997875842,0.07358311908779247,191,30
7,5,5,1.3000000000000003,Sstar,0.01988585984508455,1.4474925546430855,-8.816320411205917,0.02,ok,local_polynomial_smoothing_then_quadratic,0.011376409960514196,0.08778425816284194,190,30
7,5,5,1.4000000000000001,M_sum,0.025579788514632558,4.966469741681004,-35.729703491382324,0.025,ok,local_polynomial_smoothing_then_quadratic,0.012882447040075483,0.07558239846865954,194,30
7,5,5,1.4000000000000001,S2_sum,0.025834323812835982,3.5820724161470334,-25.524774817591844,0.025,ok,local_polynomial_smoothing_then_quadratic,0.012908377458828588,0.07937070623839657,195,30
7,5,5,1.4000000000000001,Sstar,0.021818171462001747,1.4400708301860514,-4.592336151386017,0.02,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.014361487171481868,0.15965128815563484,137,30
7,5,5,1.5000000000000002,M_sum,0.02686792635289252,4.881398883618209,-38.55570319001255,0.025,ok,local_polynomial_smoothing_then_quadratic,0.0169551976847075,0.08285609240659206,197,30
7,5,5,1.5000000000000002,S2_sum,0.027034271090801185,3.534494557552698,-28.20396737408487,0.025,ok,local_polynomial_smoothing_then_quadratic,0.017125209756585234,0.08358035925798765,197,30
7,5,5,1.5000000000000002,Sstar,0.02074475292511668,1.4331454471104794,-11.486651457138906,0.02,wide_ci,local_polynomial_smoothing_then_quadratic,0.015334303230988895,0.17072374149971103,181,30
7,5,5,1.6,M_sum,0.02783536054336685,4.797389169197888,-37.976553723597654,0.025,ok,local_polynomial_smoothing_then_quadratic,0.018373436318930663,0.08258807936068871,197,30
