L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,7,7,1.7,0.58,1.7954645502230757,1.8809628621384602,0,0.0
7,7,7,1.7,0.58,1.8809628621384602,1.9664611740538447,0,0.0
7,7,7,1.7,0.58,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,1.7,0.58,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,1.7,0.58,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,1.7,0.58,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,1.7,0.58,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,1.7,0.58,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,1.7,0.58,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,1.7,0.585,0.0,0.08549831191538455,916,0.458
7,7,7,1.7,0.585,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,1.7,0.585,0.1709966238307691,0.2564949357461537,35,0.0175
7,7,7,1.7,0.585,0.2564949357461537,0.3419932476615382,265,0.1325
7,7,7,1.7,0.585,0.3419932476615382,0.42749155957692275,178,0.089
7,7,7,1.7,0.585,0.42749155957692275,0.5129898714923073,67,0.0335
7,7,7,1.7,0.585,0.5129898714923073,0.5984881834076918,163,0.0815
7,7,7,1.7,0.585,0.5984881834076918,0.6839864953230764,84,0.042
7,7,7,1.7,0.585,0.6839864953230764,0.769484807238461,31,0.0155
7,7,7,1.7,0.585,0.769484807238461,0.8549831191538455,29,0.0145
7,7,7,1.7,0.585,0.8549831191538455,0.9404814310692301,128,0.064
7,7,7,1.7,0.585,0.9404814310692301,1.0259797429846147,85,0.0425
7,7,7,1.7,0.585,1.0259797429846147,1.1114780548999992,15,0.0075
7,7,7,1.7,0.585,1.1114780548999992,1.1969763668153837,4,0.002
7,7,7,1.7,0.585,1.1969763668153837,1.2824746787307684,0,0.0
7,7,7,1.7,0.585,1.2824746787307684,1.3679729906461529,0,0.0
7,7,7,1.7,0.585,1.3679729906461529,1.4534713025615373,0,0.0
7,7,7,1.7,0.585,1.4534713025615373,1.538969614476922,0,0.0
7,7,7,1.7,0.585,1.538969614476922,1.6244679263923065,0,0.0
7,7,7,1.7,0.585,1.6244679263923065,1.709966238307691,0,0.0
7,7,7,1.7,0.585,1.709966238307691,1.7954645502230757,0,0.0
7,7,7,1.7,0.585,1.7954645502230757,1.8809628621384602,0,0.0
7,7,7,1.7,0.585,1.8809628621384602,1.9664611740538447,0,0.0
7,7,7,1.7,0.585,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,1.7,0.585,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,1.7,0.585,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,1.7,0.585,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,1.7,0.585,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,1.7,0.585,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,1.7,0.585,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,1.7,0.59,0.0,0.08549831191538455,918,0.459
7,7,7,1.7,0.59,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,1.7,0.59,0.1709966238307691,0.2564949357461537,45,0.0225
7,7,7,1.7,0.59,0.2564949357461537,0.3419932476615382,254,0.127
7,7,7,1.7,0.59,0.3419932476615382,0.42749155957692275,178,0.089
7,7,7,1.7,0.59,0.42749155957692275,0.5129898714923073,70,0.035
7,7,7,1.7,0.59,0.5129898714923073,0.5984881834076918,156,0.078
7,7,7,1.7,0.59,0.5984881834076918,0.6839864953230764,84,0.042
7,7,7,1.7,0.59,0.6839864953230764,0.769484807238461,29,0.0145
7,7,7,1.7,0.59,0.769484807238461,0.8549831191538455,29,0.0145
7,7,7,1.7,0.59,0.8549831191538455,0.9404814310692301,132,0.066
7,7,7,1.7,0.59,0.9404814310692301,1.0259797429846147,85,0.0425
7,7,7,1.7,0.59,1.0259797429846147,1.1114780548999992,16,0.008
7,7,7,1.7,0.59,1.1114780548999992,1.1969763668153837,4,0.002
7,7,7,1.7,0.59,1.1969763668153837,1.2824746787307684,0,0.0
7,7,7,1.7,0.59,1.2824746787307684,1.3679729906461529,0,0.0
7,7,7,1.7,0.59,1.3679729906461529,1.4534713025615373,0,0.0
7,7,7,1.7,0.59,1.4534713025615373,1.538969614476922,0,0.0
7,7,7,1.7,0.59,1.538969614476922,1.6244679263923065,0,0.0
7,7,7,1.7,0.59,1.6244679263923065,1.709966238307691,0,0.0
7,7,7,1.7,0.59,1.709966238307691,1.7954645502230757,0,0.0
7,7,7,1.7,0.59,1.7954645502230757,1.8809628621384602,0,0.0
7,7,7,1.7,0.59,1.8809628621384602,1.9664611740538447,0,0.0
7,7,7,1.7,0.59,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,1.7,0.59,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,1.7,0.59,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,1.7,0.59,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,1.7,0.59,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,1.7,0.59,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,1.7,0.59,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,1.7,0.595,0.0,0.08549831191538455,919,0.4595
7,7,7,1.7,0.595,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,1.7,0.595,0.1709966238307691,0.2564949357461537,55,0.0275
7,7,7,1.7,0.595,0.2564949357461537,0.3419932476615382,243,0.1215
7,7,7,1.7,0.595,0.3419932476615382,0.42749155957692275,181,0.0905
7,7,7,1.7,0.595,0.42749155957692275,0.5129898714923073,70,0.035
7,7,7,1.7,0.595,0.5129898714923073,0.5984881834076918,149,0.0745
7,7,7,1.7,0.595,0.5984881834076918,0.6839864953230764,84,0.042
7,7,7,1.7,0.595,0.6839864953230764,0.769484807238461,31,0.0155
7,7,7,1.7,0.595,0.769484807238461,0.8549831191538455,30,0.015
7,7,7,1.7,0.595,0.8549831191538455,0.9404814310692301,135,0.0675
7,7,7,1.7,0.595,0.9404814310692301,1.0259797429846147,84,0.042
7,7,7,1.7,0.595,1.0259797429846147,1.1114780548999992,16,0.008
7,7,7,1.7,0.595,1.1114780548999992,1.1969763668153837,3,0.0015
7,7,7,1.7,0.595,1.1969763668153837,1.2824746787307684,0,0.0
7,7,7,1.7,0.595,1.2824746787307684,1.3679729906461529,0,0.0
