U,W,L,N,nmax,boundary,g,n_realizations_used,source
3.0,4.0,7,7,4,periodic,0.3513513513513513,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,5.0,7,7,4,periodic,0.3213213213213213,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,6.0,7,7,4,periodic,0.2762762762762762,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,7.0,7,7,4,periodic,0.23623623623623624,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,8.0,7,7,4,periodic,0.22622622622622626,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,9.0,7,7,4,periodic,0.18118118118118123,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,10.0,7,7,4,periodic,0.16616616616616622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,11.0,7,7,4,periodic,0.15615615615615622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,12.0,7,7,4,periodic,0.14614614614614613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,13.0,7,7,4,periodic,0.14114114114114118,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,14.0,7,7,4,periodic,0.15115115115115116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,15.0,7,7,4,periodic,0.14614614614614613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,0.5,7,7,2,periodic,0.6966966966966965,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,1.0,7,7,2,periodic,0.8768768768768771,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,2.0,7,7,2,periodic,0.8218218218218221,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,3.0,7,7,2,periodic,0.7017017017017015,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,4.0,7,7,2,periodic,0.6016016016016015,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,5.0,7,7,2,periodic,0.40140140140140135,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,6.0,7,7,2,periodic,0.3213213213213213,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,7.0,7,7,2,periodic,0.30130130130130134,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
4.0,8.0,7,7,2,periodic,0.26126126126126126,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
