L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
8,5,4,2.0,3.2180945697548062,0.5,0.4606153425084333,10
8,5,4,3.0,3.337362185748617,0.5,0.3811315872202367,10
8,5,4,4.0,3.5355854883491245,0.5,0.3183056718152333,10
8,5,4,5.0,3.6961015700897177,0.5,0.27638286165974674,10
8,5,4,6.0,4.165079779198022,0.5,0.24293375587658,10
8,5,4,7.0,4.508164034443938,0.5,0.21789375358889335,10
8,5,4,8.0,4.5915402967304075,0.5,0.20095173259353666,10
8,5,4,9.0,5.040467129402489,0.5,0.1944756958502033,10
8,5,4,10.0,4.867769489691007,0.5,0.18652221546228404,10
8,5,4,11.0,5.067806619607864,0.5,0.17749529950101334,10
8,5,4,12.0,5.176079275420565,0.5,0.17445462370533,10
8,5,4,13.0,4.79100475065002,0.5,0.171551550129598,10
8,5,4,14.0,5.688073327896006,0.5,0.16392518689765034,10
8,5,4,15.0,5.921887733584724,0.5,0.16067580206271564,10
8,5,5,0.1,2.9217774536520533,0.5,0.63331271290214,10
8,5,5,0.25,2.934826527938626,0.5,0.621742989252711,10
8,5,5,0.5,2.984459105945337,0.5,0.6043309757941511,10
8,5,5,0.75,3.046122902737382,0.5,0.5817686661418251,10
8,5,5,1.0,3.10538130472067,0.5,0.5566011762127634,10
8,5,5,2.0,3.2302690504007328,0.5,0.45493071551609,10
8,5,5,3.0,3.3854738655474557,0.5,0.37667008742523667,10
8,5,5,4.0,3.5673716219352376,0.5,0.31372192706901003,10
8,5,5,5.0,3.6596331057943727,0.5,0.27234366716371666,10
8,5,5,6.0,4.195035180425186,0.5,0.24120565790788334,10
8,5,5,7.0,4.3621503637459655,0.5,0.21898299014136996,10
8,5,5,8.0,4.598383355833647,0.5,0.20178700506273334,10
8,5,5,9.0,4.232748564294664,0.5,0.19018016471059002,10
8,5,5,10.0,5.064226258886004,0.5,0.182729243789188,10
8,5,5,11.0,4.994064298185733,0.5,0.17816198763730567,10
8,5,5,12.0,4.955200144335552,0.5,0.17259783737527332,10
8,5,5,13.0,5.241924663028424,0.5,0.170341251281864,10
8,5,5,14.0,5.67148466588885,0.5,0.15753265522176832,10
8,5,5,15.0,5.231204485523677,0.5,0.15954553604992835,10
8,6,2,0.1,3.7346737170266686,0.5,0.738481342761722,10
8,6,2,0.25,3.775762258335287,0.5,0.7379397194031609,10
8,6,2,0.5,3.8251602633776476,0.5,0.734498065341475,10
8,6,2,0.75,3.8855601980014676,0.5,0.7257159306655621,10
8,6,2,1.0,3.9351759788408716,0.5,0.7132665150155371,10
8,6,2,2.0,4.295123647316082,0.5,0.624331695763416,10
8,6,2,3.0,4.507919044944636,0.5,0.5230357488306829,10
8,6,2,4.0,4.71865638070638,0.5,0.441271660236518,10
8,6,2,5.0,4.973986235581224,0.5,0.38109179672150095,10
8,6,2,6.0,5.27791068236075,0.5,0.338570236400457,10
8,6,2,7.0,5.642241802820845,0.5,0.304241296052954,10
8,6,2,8.0,5.942795206455409,0.5,0.282683779980176,10
8,6,2,9.0,6.495833386161815,0.5,0.263501420814146,10
8,6,2,10.0,6.536763560620903,0.5,0.254323327838891,10
8,6,2,11.0,6.526253939872473,0.5,0.245825261858462,10
8,6,2,12.0,6.768642207093173,0.5,0.238154948120943,10
8,6,2,13.0,6.931791569221207,0.5,0.228555106314923,10
8,6,2,14.0,6.9168422028382786,0.5,0.22046018964095998,10
8,6,2,15.0,6.7618838682683515,0.5,0.21364087671444398,10
8,6,3,0.1,3.2429791250518867,0.5,0.6334459228038021,10
8,6,3,0.25,3.234799562433337,0.5,0.627797288803166,10
8,6,3,0.5,3.237351298042247,0.5,0.616240913689448,10
8,6,3,0.75,3.3339844685536106,0.5,0.5948088421247839,10
8,6,3,1.0,3.4097305634316672,0.5,0.5698287706343432,10
8,6,3,2.0,3.5390143874162168,0.5,0.4681480424831967,10
8,6,3,3.0,3.6500469565434326,0.5,0.38781892487252,10
