L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
8,4,5,0.25,1.0,0.14083979738749275,0.9470965359717489,10
8,4,5,0.5,1.0,0.13828172034783653,0.9479090410114077,10
8,4,5,0.75,1.0,0.14929930449288037,0.9390059787392127,10
8,4,5,1.0,1.0,0.15896293253393465,0.931392608555347,10
8,4,5,2.0,1.0,0.1606391473271566,0.9317527970011605,10
8,4,5,3.0,1.0,0.16549146994161165,0.9386822652966706,10
8,4,5,4.0,1.0,0.154469253557419,0.9554390192964862,10
8,4,5,5.0,1.0,0.1278483680787895,0.9717026336606877,10
8,4,5,6.0,1.0,0.10717860092863819,0.9838587677889619,10
8,4,5,7.0,1.0,0.11072032473338358,0.9820649824511841,10
8,4,5,8.0,1.0,0.08501304271768013,0.9903383852307976,10
8,4,5,9.0,1.0,0.08448930176320839,0.9891790744486688,10
8,4,5,10.0,1.0,0.09837300823550418,0.9887838489293946,10
8,4,5,11.0,1.0,0.10639232801098097,0.9821830827192989,10
8,4,5,12.0,1.0,0.12502499872370476,0.9772645595152938,10
8,4,5,13.0,1.0,0.0640346008070956,0.9918381594572842,10
8,4,5,14.0,1.0,0.16062307628308398,0.9751522924935493,10
8,4,5,15.0,1.0,0.2176439089722032,0.9562099850058469,10
8,5,2,0.1,1.0,0.22511737179846503,0.8839446653332673,10
8,5,2,0.25,1.0,0.2242869686774444,0.8850127493944675,10
8,5,2,0.5,1.0,0.23273751024842942,0.8757764240928555,10
8,5,2,0.75,1.0,0.2377544746734608,0.8692262859053629,10
8,5,2,1.0,1.0,0.23999336646928288,0.8653804943941111,10
8,5,2,2.0,1.0,0.24498023226604854,0.8720250684905722,10
8,5,2,3.0,1.0,0.2314814264441565,0.8998301172570498,10
8,5,2,4.0,1.0,0.19762916707697795,0.9339609888350616,10
8,5,2,5.0,1.0,0.1748825107276287,0.9574090412223368,10
8,5,2,6.0,1.0,0.12445738570583022,0.9779804241261608,10
8,5,2,7.0,1.0,0.14043506749676601,0.9785051586141105,10
8,5,2,8.0,1.0,0.11825606748963655,0.9821933714118739,10
8,5,2,9.0,1.0,0.14671474492913603,0.9796611409846467,10
8,5,2,10.0,1.0,0.11736347081596747,0.9852642199169106,10
8,5,2,11.0,1.0,0.1022415373558046,0.988012113028796,10
8,5,2,12.0,1.0,0.1125597229210671,0.9886475139601295,10
8,5,2,13.0,1.0,0.14264367797607375,0.9750821323931953,10
8,5,2,14.0,1.0,0.0987553462042692,0.9862110917659225,10
8,5,2,15.0,1.0,0.05266076709197637,0.9931979328348725,10
8,5,3,0.1,1.0,0.1801796079379883,0.918790298210321,10
8,5,3,0.25,1.0,0.1895306707195141,0.9113300929722666,10
8,5,3,0.5,1.0,0.19898510811058392,0.9028899746192711,10
8,5,3,0.75,1.0,0.2025455618040014,0.8983068831158983,10
8,5,3,1.0,1.0,0.2080011318283266,0.8937120759077841,10
8,5,3,2.0,1.0,0.20143966261558274,0.9019451833105792,10
8,5,3,3.0,1.0,0.17358331455367537,0.9326195175758154,10
8,5,3,4.0,1.0,0.16449675611320727,0.9500077873063506,10
8,5,3,5.0,1.0,0.14322452360343357,0.9665157555992526,10
8,5,3,6.0,1.0,0.1400687129358294,0.9720295230293249,10
8,5,3,7.0,1.0,0.08986587815861888,0.9887087447338888,10
8,5,3,8.0,1.0,0.12661448500521127,0.979331101167054,10
8,5,3,9.0,1.0,0.0855420579398438,0.9895301065791386,10
8,5,3,10.0,1.0,0.12587834542013296,0.9831724657031787,10
8,5,3,11.0,1.0,0.06204539795397916,0.992267652297088,10
8,5,3,12.0,1.0,0.08688567895252736,0.9870178375437307,10
8,5,3,13.0,1.0,0.10149096848844961,0.986351117285494,10
8,5,3,14.0,1.0,0.16513176198339538,0.9741373538358201,10
8,5,3,15.0,1.0,0.12607458834981158,0.9815101384785982,10
8,5,4,0.1,1.0,0.18618725282791662,0.914990268079767,10
8,5,4,0.25,1.0,0.19262305842104335,0.9095266088693945,10
8,5,4,0.5,1.0,0.1991167288218266,0.9029795661513776,10
8,5,4,0.75,1.0,0.20146612710518577,0.89964399756611,10
8,5,4,1.0,1.0,0.20262270827576515,0.8977554744802179,10
8,5,4,2.0,1.0,0.19210005187626075,0.9093773741503528,10
8,5,4,3.0,1.0,0.1665999826829863,0.9369285921732472,10
8,5,4,4.0,1.0,0.14478330893521457,0.9567774292762574,10
