L,nmax,U,W,N0,A,B,n_N
8,3,4.0,12.0,6.0,0.31570026577194,0.01741614613768202,5
8,3,4.0,13.0,6.0,0.29539278494076804,0.016862474900727332,5
8,3,4.0,14.0,6.0,0.2803416041596827,0.017595764284596017,5
8,3,4.0,15.0,6.0,0.26555478674502375,0.018169064485465986,5
8,3,5.0,0.1,6.0,0.7162100485614528,-0.007913134670936994,5
8,3,5.0,0.25,6.0,0.7099455428457355,-0.007257348865757818,5
8,3,5.0,0.5,6.0,0.6997574296777511,-0.006682173331592623,5
8,3,5.0,0.75,6.0,0.6857125979858776,-0.006140944049122021,5
8,3,5.0,1.0,6.0,0.6676280816856467,-0.006415632483433997,5
8,3,5.0,2.0,6.0,0.5817568409284973,-0.0017702360532146466,5
8,3,5.0,3.0,6.0,0.511437755158236,0.005547297095695303,5
8,3,5.0,4.0,6.0,0.464411321557672,0.009405589389334657,5
8,3,5.0,5.0,6.0,0.427385520762408,0.012414515949742012,5
8,3,5.0,6.0,6.0,0.39964682394035467,0.017028375418452656,5
8,3,5.0,7.0,6.0,0.3739344445335827,0.01713305434397535,5
8,3,5.0,8.0,6.0,0.35689987888419206,0.019121469530268675,5
8,3,5.0,9.0,6.0,0.3377356294942787,0.01876633568788001,5
8,3,5.0,10.0,6.0,0.3161600269002253,0.01363126381207932,5
8,3,5.0,11.0,6.0,0.301236411414808,0.012874499871984002,5
8,3,5.0,12.0,6.0,0.2844661568385413,0.013470250094615976,5
8,3,5.0,13.0,6.0,0.2703187552085601,0.01429102464678465,5
8,3,5.0,14.0,6.0,0.259325370870972,0.010613198172137323,5
8,3,5.0,15.0,6.0,0.24556788996365603,0.013996044866699336,5
8,3,6.0,0.1,6.0,0.6981195136262468,-0.013252465505943811,5
8,3,6.0,0.25,6.0,0.6906289349264736,-0.012664658670852359,5
8,3,6.0,0.5,6.0,0.6789456041137452,-0.012566003147198402,5
8,3,6.0,0.75,6.0,0.6627403007413564,-0.01269610516469557,5
8,3,6.0,1.0,6.0,0.6411368461817399,-0.013225616040627353,5
8,3,6.0,2.0,6.0,0.5496125966140839,-0.011857210674370644,5
8,3,6.0,3.0,6.0,0.4654803746909907,-0.008476400814029306,5
8,3,6.0,4.0,6.0,0.4043040456167426,-0.0016321185007086903,5
8,3,6.0,5.0,6.0,0.369262807768624,-0.00010592926263666146,5
8,3,6.0,6.0,6.0,0.33911520896069064,0.004915484302832673,5
8,3,6.0,7.0,6.0,0.3225528238922747,0.0058776768011546635,5
8,3,6.0,8.0,6.0,0.31034630599029733,0.006776222096509332,5
8,3,6.0,9.0,6.0,0.29800687873865195,0.008354335870016683,5
8,3,6.0,10.0,6.0,0.28116482923630404,0.008740905593318004,5
8,3,6.0,11.0,6.0,0.27051792398132796,0.009967094746019988,5
8,3,6.0,12.0,6.0,0.2570275298938334,0.009944496716834,5
8,3,6.0,13.0,6.0,0.24808121231201735,0.01192681555183534,5
8,3,6.0,14.0,6.0,0.23776915577424534,0.010971275384896683,5
8,3,6.0,15.0,6.0,0.22874926773687604,0.007846733615374007,5
8,3,7.0,0.1,6.0,0.6841694958610232,-0.01732761107197358,5
8,3,7.0,0.25,6.0,0.67529069873057,-0.016737373056705397,5
8,3,7.0,0.5,6.0,0.6627621585241973,-0.017138691255385852,5
8,3,7.0,0.75,6.0,0.6452333443109511,-0.017919290820986023,5
