L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
9,8,2,5.0,1.0,1.0,2.6083495531129026,0.5972488839611977,0.8063485089748966,False
9,8,2,6.0,1.0,1.0,2.9665119832741897,0.5274724737082358,0.78399377269248,False
9,8,2,7.0,1.0,1.0,3.2709687373934715,0.4764072874157054,0.77140325976619,False
9,8,2,8.0,1.0,1.0,3.5355619932499955,0.4385408687781442,0.7621491910194567,False
9,8,2,9.0,1.0,1.0,3.769446788163347,0.40996115089014207,0.7530265943406499,False
9,8,2,10.0,1.0,1.0,3.9789711471841027,0.38799811856675165,0.7472106459800799,False
9,8,2,1.0,2.0,1.0,-0.0,1.0,0.8960914212566135,False
9,8,2,2.0,2.0,1.0,0.7034019527676205,0.9648970726002737,0.8852368335107034,False
9,8,2,3.0,2.0,1.0,1.492147632141352,0.8421689229873343,0.8628737066176001,False
9,8,2,4.0,2.0,1.0,2.0979712795525116,0.7095409561879876,0.8257494229704501,False
9,8,2,5.0,2.0,1.0,2.563188742669635,0.6066978963058242,0.7789384526253,False
9,8,2,6.0,2.0,1.0,2.9389949375718523,0.5324770283887668,0.73354305719633,False
9,8,2,7.0,2.0,1.0,3.2542616328215703,0.4790014114342267,0.7085623464594166,False
9,8,2,8.0,2.0,1.0,3.5259255429715064,0.43981500991431255,0.6926986438534766,False
9,8,2,9.0,2.0,1.0,3.7646788782550913,0.41049986089425244,0.6808743423157366,False
9,8,2,10.0,2.0,1.0,3.977694855995305,0.38812207543820004,0.6731769856257434,False
9,8,2,1.0,3.0,1.0,-0.0,1.0,0.8751297785661167,False
9,8,2,2.0,3.0,1.0,0.4358313298321983,0.9868140045187609,0.8660835122760934,False
9,8,2,3.0,3.0,1.0,1.1234471010399047,0.9093752654797729,0.8407873557505601,False
9,8,2,4.0,3.0,1.0,1.8258083302493586,0.7710014354787678,0.7928869932483034,False
9,8,2,5.0,3.0,1.0,2.3580851549486366,0.651047686477723,0.7351659592775767,False
9,8,2,6.0,3.0,1.0,2.769981132694788,0.564558588388393,0.6720276586742834,False
9,8,2,7.0,3.0,1.0,3.106251418117381,0.5030431879706997,0.6285102951134667,False
9,8,2,8.0,3.0,1.0,3.391163067135035,0.45845943247370086,0.5982324793824199,False
9,8,2,9.0,3.0,1.0,3.638810171495211,0.42537500019995805,0.5787595493393,False
9,8,2,10.0,3.0,1.0,3.8580903757496805,0.4002661790268977,0.5754676622006634,False
9,8,2,1.0,4.0,1.0,-0.0,1.0,0.8333581205345334,False
9,8,2,2.0,4.0,1.0,0.2873496762803279,0.9943620301263586,0.8267693378042333,False
9,8,2,3.0,4.0,1.0,0.7477005630165894,0.9602345473768836,0.7986136836822099,False
