L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
6,5,4,9.0,10.0,0.187426763736316,246,6,0.3254589587445453,0.5758844815927419
6,5,4,10.0,10.0,0.1802847827841269,246,6,0.3254589587445453,0.55394014495583
6,5,4,11.0,10.0,0.17673498022334722,246,6,0.3254589587445453,0.5430330782876608
6,5,4,12.0,10.0,0.17583026679180572,246,6,0.3254589587445453,0.5402532702435638
6,5,4,13.0,10.0,0.170884763433303,246,6,0.3254589587445453,0.5250577955896168
6,5,4,14.0,10.0,0.16755763389552358,246,6,0.3254589587445453,0.514834910496474
6,5,4,15.0,10.0,0.162859489113081,246,6,0.3254589587445453,0.5003994658537282
6,5,5,1.0,10.0,0.479224544290087,252,6,0.3240405909671327,1.4789028215872329
6,5,5,2.0,10.0,0.388996160952321,252,6,0.3240405909671327,1.2004550411148234
6,5,5,3.0,10.0,0.32228336951158,252,6,0.3240405909671327,0.9945771563670214
6,5,5,4.0,10.0,0.27361216857097603,252,6,0.3240405909671327,0.8443762176656701
6,5,5,5.0,10.0,0.239773375867882,252,6,0.3240405909671327,0.7399485822200654
6,5,5,6.0,10.0,0.21584106732346098,252,6,0.3240405909671327,0.6660926851147289
6,5,5,7.0,10.0,0.2040242729231451,252,6,0.3240405909671327,0.6296256660753935
6,5,5,8.0,10.0,0.187492341022342,252,6,0.3240405909671327,0.5786075764852535
6,5,5,9.0,10.0,0.18152738538629543,252,6,0.3240405909671327,0.5601995257585111
6,5,5,10.0,10.0,0.1733363360096175,252,6,0.3240405909671327,0.5349216759921257
6,5,5,11.0,10.0,0.17153806551135417,252,6,0.3240405909671327,0.5293721536532847
6,5,5,12.0,10.0,0.16893294989951801,252,6,0.3240405909671327,0.5213326805611609
6,5,5,13.0,10.0,0.16563335674116772,252,6,0.3240405909671327,0.511150026750716
6,5,5,14.0,10.0,0.1614475323590262,252,6,0.3240405909671327,0.49823243402059386
6,5,5,15.0,10.0,0.15859053528870462,252,6,0.3240405909671327,0.4894156464021212
6,6,2,1.0,10.0,0.696021701185335,141,1,0.0,nan
6,6,2,2.0,10.0,0.6533195035975211,141,1,0.0,nan
6,6,2,3.0,10.0,0.579165773797663,141,1,0.0,nan
6,6,2,4.0,10.0,0.5078106411099741,141,1,0.0,nan
6,6,2,5.0,10.0,0.444227056910125,141,1,0.0,nan
6,6,2,6.0,10.0,0.39472538830568704,141,1,0.0,nan
6,6,2,7.0,10.0,0.35495335059256605,141,1,0.0,nan
6,6,2,8.0,10.0,0.32884303443321905,141,1,0.0,nan
6,6,2,9.0,10.0,0.309285077332478,141,1,0.0,nan
6,6,2,10.0,10.0,0.29849257942436397,141,1,0.0,nan
6,6,2,11.0,10.0,0.28610178180033097,141,1,0.0,nan
6,6,2,12.0,10.0,0.274735259086907,141,1,0.0,nan
6,6,2,13.0,10.0,0.266952523882803,141,1,0.0,nan
6,6,2,14.0,10.0,0.259756504364531,141,1,0.0,nan
6,6,2,15.0,10.0,0.250890570950315,141,1,0.0,nan
6,6,3,1.0,10.0,0.44949271691298703,336,1,0.0,nan
6,6,3,2.0,10.0,0.375378581884069,336,1,0.0,nan
6,6,3,3.0,10.0,0.32023653235807603,336,1,0.0,nan
6,6,3,4.0,10.0,0.277787126221946,336,1,0.0,nan
6,6,3,5.0,10.0,0.251318113767734,336,1,0.0,nan
6,6,3,6.0,10.0,0.230509199318808,336,1,0.0,nan
6,6,3,7.0,10.0,0.218867268293227,336,1,0.0,nan
6,6,3,8.0,10.0,0.20888652809684602,336,1,0.0,nan
6,6,3,9.0,10.0,0.202707897903456,336,1,0.0,nan
6,6,3,10.0,10.0,0.20029939232017496,336,1,0.0,nan
6,6,3,11.0,10.0,0.19750745897763702,336,1,0.0,nan
6,6,3,12.0,10.0,0.195988750109953,336,1,0.0,nan
6,6,3,13.0,10.0,0.19451609401515702,336,1,0.0,nan
6,6,3,14.0,10.0,0.19006849772968498,336,1,0.0,nan
6,6,3,15.0,10.0,0.188777991008177,336,1,0.0,nan
6,6,4,1.0,10.0,0.40755945685960304,426,1,0.0,nan
6,6,4,2.0,10.0,0.333274045566587,426,1,0.0,nan
6,6,4,3.0,10.0,0.28004304327141105,426,1,0.0,nan
6,6,4,4.0,10.0,0.24357899927945598,426,1,0.0,nan
6,6,4,5.0,10.0,0.222785668166929,426,1,0.0,nan
6,6,4,6.0,10.0,0.199812299123882,426,1,0.0,nan
6,6,4,7.0,10.0,0.189176877632102,426,1,0.0,nan
6,6,4,8.0,10.0,0.1797421851296938,426,1,0.0,nan
6,6,4,9.0,10.0,0.173932700139987,426,1,0.0,nan
6,6,4,10.0,10.0,0.1689312861421297,426,1,0.0,nan
6,6,4,11.0,10.0,0.1669419522140032,426,1,0.0,nan
6,6,4,12.0,10.0,0.16419796058845848,426,1,0.0,nan
6,6,4,13.0,10.0,0.1627852472158685,426,1,0.0,nan
6,6,4,14.0,10.0,0.1591724950692286,426,1,0.0,nan
6,6,4,15.0,10.0,0.15675814020172552,426,1,0.0,nan
6,6,5,1.0,10.0,0.385990676285364,456,1,0.0,nan
6,6,5,2.0,10.0,0.313588992728865,456,1,0.0,nan
6,6,5,3.0,10.0,0.26690890741525497,456,1,0.0,nan
6,6,5,4.0,10.0,0.231512749042057,456,1,0.0,nan
6,6,5,5.0,10.0,0.209239483856213,456,1,0.0,nan
6,6,5,6.0,10.0,0.191214682471943,456,1,0.0,nan
6,6,5,7.0,10.0,0.1803325978981748,456,1,0.0,nan
6,6,5,8.0,10.0,0.1685083366048877,456,1,0.0,nan
6,6,5,9.0,10.0,0.1658882902890436,456,1,0.0,nan
6,6,5,10.0,10.0,0.15805466961829479,456,1,0.0,nan
6,6,5,11.0,10.0,0.15482269203682303,456,1,0.0,nan
6,6,5,12.0,10.0,0.15409892400778352,456,1,0.0,nan
6,6,5,13.0,10.0,0.15280631724729388,456,1,0.0,nan
6,6,5,14.0,10.0,0.14873799211289912,456,1,0.0,nan
6,6,5,15.0,10.0,0.14544538366557103,456,1,0.0,nan
6,7,2,1.0,10.0,0.6377751613178321,126,0,nan,nan
6,7,2,2.0,10.0,0.5866549247209609,126,0,nan,nan
6,7,2,3.0,10.0,0.530362911820145,126,0,nan,nan
6,7,2,4.0,10.0,0.472409640598793,126,0,nan,nan
6,7,2,5.0,10.0,0.43027190550429395,126,0,nan,nan
6,7,2,6.0,10.0,0.395324524933215,126,0,nan,nan
6,7,2,7.0,10.0,0.366390699922311,126,0,nan,nan
6,7,2,8.0,10.0,0.347354581351862,126,0,nan,nan
6,7,2,9.0,10.0,0.32946618461254895,126,0,nan,nan
6,7,2,10.0,10.0,0.31741045126083,126,0,nan,nan
6,7,2,11.0,10.0,0.30743898456555707,126,0,nan,nan
6,7,2,12.0,10.0,0.296103297782767,126,0,nan,nan
6,7,2,13.0,10.0,0.290384055983033,126,0,nan,nan
6,7,2,14.0,10.0,0.279307233598924,126,0,nan,nan
6,7,2,15.0,10.0,0.27198603352783296,126,0,nan,nan
6,7,3,1.0,10.0,0.5315325200917099,456,0,nan,nan
6,7,3,2.0,10.0,0.453058998792903,456,0,nan,nan
6,7,3,3.0,10.0,0.386022449219361,456,0,nan,nan
6,7,3,4.0,10.0,0.33535006075092905,456,0,nan,nan
6,7,3,5.0,10.0,0.29858645993542,456,0,nan,nan
6,7,3,6.0,10.0,0.26999760124864,456,0,nan,nan
6,7,3,7.0,10.0,0.247482558759217,456,0,nan,nan
6,7,3,8.0,10.0,0.231891683550046,456,0,nan,nan
6,7,3,9.0,10.0,0.221605023002243,456,0,nan,nan
6,7,3,10.0,10.0,0.21605895868582403,456,0,nan,nan
6,7,3,11.0,10.0,0.20943063027593697,456,0,nan,nan
