L,N,nmax,W_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
8,8,8,0.9,0.1444162550733124,0.1486912326447373,0.1429956248538151,0.1549320064136964
8,8,8,1.0,0.1597285012371203,0.1644563069981104,0.158142774189151,0.1714378153471833
8,8,8,1.1,0.1748524745491999,0.1801139808935191,0.1731967449408031,0.1877025638019208
8,8,8,1.2,0.1897856364500603,0.1955819367324587,0.1879460190164547,0.2039944479420202
8,8,8,1.3,0.2045274778668091,0.2107782692797806,0.2026498683227759,0.2200323289408711
8,8,8,1.4,0.2190792171101557,0.2259475430871402,0.2171067292984169,0.235847227628229
8,8,8,1.5,0.2334434021154746,0.2407802746466391,0.23143646020611,0.2517102323167323
8,8,8,1.6,0.2476235506760827,0.2554914213354606,0.2456521980163636,0.2672613338150049
8,8,8,1.7,0.2616239789154972,0.2700940415451989,0.2595795811156845,0.2826257288069678
8,8,8,1.8,0.2754494426294733,0.2843494005650056,0.2733469040797048,0.2979000572265834
8,8,8,1.9,0.2891050690829274,0.2985872952385471,0.2867448111147263,0.3128514652379851
8,8,8,2.0,0.3025961354427361,0.3124518458100995,0.3002767301248104,0.3278837348262319
8,8,8,2.1,0.3159279953455896,0.3264369811783311,0.3134549491475674,0.3426039019553183
8,8,8,2.2,0.3291059643134892,0.3400825802672742,0.3266034391938878,0.3570996948341815
8,8,8,2.3,0.34213527191617,0.3537394924977405,0.3393496988535704,0.3714982877351814
8,8,8,2.4,0.3550210206132094,0.3672600490841028,0.3520524100067483,0.3856262456923729
8,8,8,2.5,0.3677681560624252,0.380690704609512,0.3646370383777045,0.399918544876445
